artist_name,song_name,popularity,duration_ms,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
Bruno Mars,Just The Way You Are,78,220733,0.637,0.843,5,-5.413,1,0.0432,0.0151,0,0.0876,0.434,109.012,4
Bruno Mars,Locked Out Of Heaven,78,233478,0.726,0.698,5,-4.165,1,0.0431,0.049,0,0.309,0.867,143.994,4
Ed Sheeran,All Of The Stars,60,237146,0.54,0.557,11,-6.097,1,0.0259,0.00886,0.000182,0.307,0.287,75.035,4
Ed Sheeran,Kiss Me,75,280853,0.589,0.227,2,-16.67,1,0.0498,0.64,0.00469,0.0248,0.182,74.993,4
Ed Sheeran,I See Fire,26,299146,0.641,0.176,6,-11.692,1,0.0349,0.638,5.14e-06,0.252,0.297,76.031,4
Ed Sheeran,The A Team,76,258373,0.642,0.289,9,-9.918,1,0.0367,0.669,0,0.18,0.407,84.996,4
Ed Sheeran,Bloodstream,70,300253,0.66,0.316,3,-11.567,0,0.0364,0.529,0.000294,0.104,0.543,91.207,4
Ed Sheeran,Drunk,68,200093,0.733,0.652,7,-9.101,1,0.0696,0.419,2.37e-06,0.521,0.459,99.998,4
Ed Sheeran,Lego House,72,185093,0.592,0.637,11,-8.48,1,0.0992,0.562,0,0.13,0.565,159.701,4
Ed Sheeran,Don't,74,219840,0.806,0.608,1,-7.008,1,0.0659,0.0113,0,0.635,0.849,95.049,4
Ed Sheeran,Shape of You - Acoustic,73,223573,0.843,0.4,8,-5.576,0,0.103,0.49,0,0.125,0.927,100.728,4
Ed Sheeran,Give Me Love,75,526386,0.526,0.328,1,-9.864,1,0.0461,0.694,0,0.112,0.11,116.068,4
Ed Sheeran,I'm A Mess,71,244573,0.697,0.377,3,-7.755,1,0.0397,0.556,0,0.0999,0.336,138.754,4
Ed Sheeran,Castle on the Hill - Acoustic,68,226226,0.563,0.26,2,-5.856,1,0.0391,0.518,0,0.146,0.616,145.561,4
Ed Sheeran,Small Bump,69,259413,0.81,0.436,10,-12.683,1,0.0717,0.689,0.000151,0.11,0.446,119.973,4
Ed Sheeran,One,56,252760,0.464,0.321,2,-11.12,1,0.0418,0.877,0,0.0789,0.306,93.528,4
Ed Sheeran,I'm A Mess,55,244573,0.697,0.377,3,-7.755,1,0.0397,0.556,0,0.0999,0.336,138.754,4
Ed Sheeran,Sing,55,235382,0.818,0.67,8,-4.451,0,0.0472,0.304,1.22e-06,0.0601,0.939,119.988,4
Ed Sheeran,Don't,56,219840,0.806,0.608,1,-7.008,1,0.0659,0.0113,0,0.635,0.849,95.049,4
Ed Sheeran,Nina,52,225533,0.791,0.669,6,-7.189,0,0.146,0.175,0,0.33,0.809,92.013,4
Ed Sheeran,Photograph,60,258986,0.614,0.379,4,-10.48,1,0.0476,0.607,0.000464,0.0986,0.201,107.989,4
Ed Sheeran,Bloodstream,54,300253,0.66,0.316,3,-11.567,0,0.0364,0.529,0.000294,0.104,0.543,91.207,4
Ed Sheeran,Tenerife Sea,66,241346,0.53,0.346,8,-10.497,1,0.0376,0.697,1.07e-05,0.105,0.359,121.876,4
Ed Sheeran,Runaway,53,205133,0.767,0.449,8,-7.158,0,0.0364,0.024,0.000299,0.151,0.908,95.03,4
Ed Sheeran,The Man,50,250426,0.759,0.725,11,-7.006,0,0.158,0.576,0,0.0771,0.619,87.467,4
Ed Sheeran,Thinking Out Loud,64,281560,0.781,0.445,2,-6.061,1,0.0295,0.474,0,0.184,0.591,78.998,4
Ed Sheeran,Afire Love,53,314280,0.552,0.637,5,-6.568,1,0.0445,0.464,1.63e-05,0.136,0.333,97.97,4
Ed Sheeran,Take It Back,50,208400,0.754,0.613,5,-6.342,1,0.229,0.318,0,0.335,0.904,113.196,4
Ed Sheeran,Shirtsleeves,49,190226,0.752,0.76,2,-5.34,1,0.0341,0.319,0,0.335,0.752,107.034,4
Ed Sheeran,Even My Dad Does Sometimes,50,228533,0.58,0.318,2,-8.926,1,0.0279,0.756,0.000171,0.117,0.295,129.757,3
Ed Sheeran,I See Fire,9,299146,0.641,0.176,6,-11.692,1,0.0349,0.638,5.14e-06,0.252,0.297,76.031,4
Ed Sheeran,English Rose,53,184173,0.579,0.649,2,-6.522,1,0.0352,0.0977,0,0.125,0.184,114.593,4
Ed Sheeran,Touch and Go,63,240986,0.812,0.542,7,-5.403,0,0.0444,0.294,6.92e-05,0.141,0.733,110.268,4
Ed Sheeran,New York,54,235960,0.728,0.461,6,-8.726,1,0.0395,0.707,0,0.113,0.474,86.014,4
Ed Sheeran,Make It Rain,59,404480,0.618,0.239,8,-8.371,0,0.0274,0.791,0,0.1,0.327,96.846,3
Ed Sheeran,Parting Glass - Live From Wembley Stadium,49,195967,0.389,0.369,4,-6.886,1,0.0404,0.598,0,0.96,0.541,102.625,4
Ed Sheeran,Small Bump - Live From Wembley Stadium,49,302992,0.69,0.696,9,-7.432,1,0.183,0.219,0,0.958,0.237,125.735,4
Rudimental,Lay It All On Me (feat. Ed Sheeran),51,242440,0.669,0.747,6,-7.108,1,0.0428,0.141,0,0.185,0.483,122.531,4
Lawson,Where My Love Goes,8,222186,0.563,0.765,11,-4.415,0,0.0396,0.0294,0,0.367,0.356,159.953,4
OneRepublic,Apologize,29,208106,0.593,0.74,8,-6.12,1,0.0339,0.363,2.22e-05,0.102,0.502,118.008,4
Michael Bublé,Someday (feat. Meghan Trainor),53,203453,0.671,0.539,7,-6.08,1,0.0392,0.18,0,0.0748,0.934,94.98,4
Calum Scott,Dancing On My Own,29,260004,0.608,0.174,1,-8.796,1,0.0332,0.851,1.92e-05,0.0855,0.193,112.175,4
